koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
1,0,0,1,-0.00021886721131227289,FALSE POSITIVE,11,5,7
1,0,0,0,-0.014638585151527479,FALSE POSITIVE,3,5,4
0,0,1,0,1.2037955369790123,FALSE POSITIVE,0,1,1
0,0,0,0,-0.06488329121876624,CANDIDATE,4,0,0
1,0,1,0,-0.0854554221468066,FALSE POSITIVE,17,0,2
1,0,0,0,-0.0655241675716647,FALSE POSITIVE,3,5,4
0,0,0,0,-0.08154607639412605,CANDIDATE,4,0,0
0,0,0,0,-0.08426980089394447,CANDIDATE,4,0,0
1,1,0,0,-0.03460188354431431,FALSE POSITIVE,12,5,6
0,0,0,0,-0.04485590519068957,CANDIDATE,4,0,0
1,1,0,1,-0.07914279007075684,FALSE POSITIVE,5,6,8
1,0,0,1,-0.08564768505267613,FALSE POSITIVE,11,5,7
0,0,0,0,-0.0837570998116257,CANDIDATE,4,0,0
0,0,0,0,-0.06132642746017982,CANDIDATE,4,1,0
0,0,0,0,-0.06302474979536073,CANDIDATE,4,0,0
1,0,1,1,-0.06549212375401978,FALSE POSITIVE,10,6,3
0,1,0,0,-0.08055271804713343,FALSE POSITIVE,1,6,5
0,0,0,0,-0.08138585730590142,CANDIDATE,4,0,0
0,0,0,0,-0.08404549417043,CANDIDATE,4,0,0
0,0,1,0,0.16221124443080082,FALSE POSITIVE,6,1,1
1,0,0,0,-0.042324443596740674,FALSE POSITIVE,3,5,4
1,0,1,1,-0.08481454579390815,FALSE POSITIVE,10,6,3
0,0,0,0,-0.08494272106448784,CANDIDATE,4,0,0
0,0,0,0,-0.08302009200579248,CANDIDATE,4,0,0
1,0,1,1,0.12641830012142216,FALSE POSITIVE,10,6,3
0,0,0,0,-0.07061913457720741,CANDIDATE,4,0,0
0,0,0,0,-0.06504351030699085,CANDIDATE,4,0,0
0,0,0,0,-0.08436593234687924,CANDIDATE,4,0,0
1,0,0,1,-0.08366096835869094,FALSE POSITIVE,11,5,7
0,0,0,0,-0.07266993890648245,CANDIDATE,4,0,0
0,0,1,0,-0.006499455469717121,FALSE POSITIVE,8,1,1
0,0,1,0,-0.03527480371485769,FALSE POSITIVE,8,1,1
1,0,1,1,0.09139440743552166,FALSE POSITIVE,10,1,3
0,0,1,0,-0.053059122507789776,FALSE POSITIVE,8,1,1
0,1,0,1,0.01836654702274287,FALSE POSITIVE,14,6,9
0,0,0,0,1.2915955973261006,CANDIDATE,4,2,-1
0,1,0,0,0.13929991481468107,FALSE POSITIVE,1,0,5
0,0,1,0,7.718624102368242,FALSE POSITIVE,9,2,-1
0,0,1,0,0.1285011482683421,FALSE POSITIVE,6,1,1
1,0,1,1,-0.08446206379981401,FALSE POSITIVE,10,0,3
0,1,0,0,-0.0506878800020655,FALSE POSITIVE,1,0,5
0,0,0,0,-0.08132176967061158,CANDIDATE,4,0,0
0,0,0,0,-0.08410958180571984,CANDIDATE,4,0,0
0,0,0,0,-0.08180242693528542,CANDIDATE,4,0,0
0,0,0,0,-0.08180242693528542,CANDIDATE,4,0,0
0,0,0,0,-0.08452615143510385,CANDIDATE,4,0,0
0,0,0,0,-0.08199468984115496,CANDIDATE,4,0,0
0,0,0,0,-0.08151403257648111,CANDIDATE,4,0,0
0,0,0,0,-0.08071293713535804,CANDIDATE,4,0,0
1,0,0,1,-0.00871047888721679,FALSE POSITIVE,11,5,7
0,0,0,0,-0.08295600437050263,CANDIDATE,4,0,0
1,0,1,0,-0.060749638742571214,FALSE POSITIVE,17,1,2
1,0,1,1,-0.0731505961711563,FALSE POSITIVE,10,6,3
1,0,1,1,-0.02857764582706885,FALSE POSITIVE,10,6,3
1,0,1,0,0.22222931487974093,FALSE POSITIVE,17,6,2
1,0,1,0,0.019936694087344088,FALSE POSITIVE,17,1,2
0,0,0,0,-0.06658161355394715,CANDIDATE,4,0,0
0,0,0,0,-0.08212286511173465,CANDIDATE,4,0,0
1,0,0,0,-0.08491067724684291,FALSE POSITIVE,3,5,4
0,0,0,0,-0.08330848636459678,CANDIDATE,4,0,0
0,0,0,0,-0.08385323126456047,CANDIDATE,4,0,0
0,0,0,0,-0.08410958180571984,CANDIDATE,4,0,0
1,0,1,1,0.034228236756979606,FALSE POSITIVE,10,1,3
1,0,0,1,-0.08632060522321952,FALSE POSITIVE,11,2,7
1,0,1,0,0.03919502849194261,FALSE POSITIVE,17,1,2
0,0,0,0,-0.08407753798807494,CANDIDATE,4,0,0
0,0,0,0,-0.07821351935905409,CANDIDATE,4,0,0
0,0,0,0,-0.08090520004122757,CANDIDATE,4,0,0
0,0,0,1,-0.08737805120550197,FALSE POSITIVE,7,5,10
0,0,0,0,-0.05613532900170236,CANDIDATE,4,0,0
0,0,0,0,-0.08302009200579248,CANDIDATE,4,0,0
1,0,0,0,-0.08443001998216908,FALSE POSITIVE,3,5,4
0,0,0,0,-0.08551950978209645,CANDIDATE,4,0,0
0,0,0,0,-0.07782899354731501,CANDIDATE,4,0,0
0,0,0,0,-0.08558359741738629,CANDIDATE,4,0,0
0,0,0,0,-0.0824753471058288,CANDIDATE,4,0,0
0,0,0,0,-0.08042454277655374,CANDIDATE,4,0,0
1,0,0,1,-0.08010410460010452,FALSE POSITIVE,11,5,7
0,0,0,0,-0.050559704731485806,CANDIDATE,4,1,0
0,0,0,0,-0.07071526603014217,CANDIDATE,4,0,0
0,0,0,0,-0.08580790414090075,CANDIDATE,4,0,0
0,0,0,0,-0.07991184169423497,CANDIDATE,4,0,0
0,0,0,0,-0.08401345035278508,CANDIDATE,4,0,0
0,0,0,0,-0.07997592932952483,CANDIDATE,4,0,0
1,0,0,0,-0.08747418265843673,FALSE POSITIVE,3,5,4
0,0,1,0,-0.025181001156707048,FALSE POSITIVE,8,1,1
0,0,1,0,0.08117242960679133,FALSE POSITIVE,8,1,1
1,0,1,0,0.02355764548122036,FALSE POSITIVE,17,6,2
0,0,1,0,0.013431799105424781,FALSE POSITIVE,8,6,1
1,0,1,1,0.030607285363103337,FALSE POSITIVE,10,1,3
