koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
FALSE POSITIVE,0,0,1,0,-0.010184494498883236,1
CANDIDATE,0,0,0,0,-0.07927096534133653,0
CANDIDATE,0,0,0,0,-0.08401345035278508,0
CANDIDATE,0,0,0,0,-0.08273169764698816,0
CANDIDATE,0,0,0,0,-0.0861603861349949,0
CANDIDATE,0,0,0,0,-0.08734600738785704,0
FALSE POSITIVE,0,1,0,0,0.20710463295133744,7
CANDIDATE,0,0,0,0,-0.0860001670467703,0
FALSE POSITIVE,0,0,1,0,0.04762255253255729,1
FALSE POSITIVE,0,0,1,0,0.1314171356740301,1
FALSE POSITIVE,0,0,1,0,0.6486043524630822,1
CANDIDATE,0,0,0,0,-0.08564768505267613,0
FALSE POSITIVE,1,1,0,0,-0.08676921867024844,10
CANDIDATE,0,0,0,0,-0.08468637052332846,0
CANDIDATE,0,0,0,0,-0.08343666163517648,0
FALSE POSITIVE,0,1,0,0,0.1701260673890967,7
CANDIDATE,0,0,0,0,-0.08311622345872724,0
CANDIDATE,0,0,0,0,-0.08388527508220539,0
FALSE POSITIVE,1,0,0,1,-0.08580790414090075,2
FALSE POSITIVE,0,0,1,0,0.20886704292180822,1
FALSE POSITIVE,0,0,1,0,-0.06376175760119396,1
FALSE POSITIVE,0,1,0,0,-0.08692943775847305,7
FALSE POSITIVE,1,0,0,1,-0.00871047888721679,2
FALSE POSITIVE,0,0,1,0,0.12247691055109666,1
FALSE POSITIVE,0,1,0,0,-0.08302009200579248,7
FALSE POSITIVE,0,0,1,0,0.13237845020337777,1
FALSE POSITIVE,0,1,0,0,0.31288127499722723,7
FALSE POSITIVE,0,0,1,0,0.09142645125316659,1
FALSE POSITIVE,0,0,1,0,0.11142179346359833,1
CANDIDATE,0,0,0,0,-0.08548746596445153,0
CANDIDATE,0,0,0,0,-0.07449643651224304,0
FALSE POSITIVE,0,0,1,0,0.010643986970316505,1
CANDIDATE,0,0,0,0,-0.08020023605303928,0
CANDIDATE,0,0,0,0,-0.08253943474111863,0
