koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
0,0,1,0,-0.05011109128445689,-0.12253400850022719,-0.04492170234286052,0.11625843949831904,-0.04600930076746581,0.03384841617870455,FALSE POSITIVE,8,1,1
0,0,1,0,-0.0330317364797131,0.21333150635005474,-0.4088825410242207,-0.3118901243880673,-0.04752466416605564,1.6286060856036197,FALSE POSITIVE,8,1,1
0,0,1,0,0.011284863323214968,-0.2845003701603913,-0.010652662337148035,0.8474639687862136,-0.045786394019591066,-0.21015175554750865,FALSE POSITIVE,8,1,1
0,0,0,0,-0.06417832723057794,-0.2740597655097746,-0.48569245827840385,-0.78775404027384,-0.0476867243560931,-0.03371904165624582,CANDIDATE,4,0,0
0,0,0,0,-0.0796554911530756,-0.30742172464338174,-0.3001669658336846,-0.7800164156252908,-0.04721901083466286,-0.2907357113891921,CANDIDATE,4,0,0
0,0,0,0,-0.08202673365879988,-0.31000394874663145,0.004709321113688596,-0.4950139077370639,-0.04567849200116949,-0.3073021633977613,CANDIDATE,4,0,0
0,0,0,0,-0.08426980089394447,-0.31199235537622855,0.5908280743148401,0.16397379149770536,-0.037918188306570934,-0.32528859700706514,CANDIDATE,4,0,0
0,0,0,0,-0.08455819525274877,-0.31194061682406876,0.3733969239337678,-0.5453084679526333,-0.0417724744478635,-0.28919739798839633,CANDIDATE,4,0,0
0,0,0,0,-0.08090520004122757,-0.309000926360442,-0.6783080969312016,-0.3093109161718843,-0.04794129735731702,-0.3258802560073712,CANDIDATE,4,0,0
0,0,0,0,-0.08193060220586511,-0.30115783220348585,-0.621586927266574,-0.7361698759501789,-0.04788595540052921,-0.29097237498931444,CANDIDATE,4,0,0
0,0,0,0,-0.08186651457057526,-0.30321091202328276,-0.9170096859365093,0.10465200252549517,-0.048062161823371245,-0.32410527900645303,CANDIDATE,4,0,0
1,0,1,1,-0.034794146450183853,-0.29844390996746567,-0.15600065960275616,0.7210827661932441,-0.04663777231524437,-0.2890790661883351,FALSE POSITIVE,10,1,3
0,0,0,0,-0.08225104038231433,-0.3030615757477305,-0.5270516444921948,-0.41118964071111475,-0.04775940876564971,-0.30339721399574143,CANDIDATE,4,0,0
0,0,0,0,-0.08471841434097338,-0.3087481129805701,-0.3285275506659983,-0.792912456706206,-0.047305367962955286,-0.32185697480529,CANDIDATE,4,0,0
0,0,1,0,0.03336305368056668,-0.2422817115979696,-0.033104791996063115,0.8255406989486578,-0.045931289324635506,-0.02969576045416473,FALSE POSITIVE,8,1,1
0,0,0,0,-0.06305679361300565,-0.19849561008034206,-0.5069628969026392,0.03243417247236985,-0.04772513818492228,0.2218776464759659,CANDIDATE,4,0,0
0,0,0,0,-0.07218928164180861,-0.2685296198096,-0.12291331063172342,-0.7400386882744535,-0.04645955345761005,-0.23109648415834264,CANDIDATE,4,0,0
0,0,0,0,-0.0809372438588725,-0.3073511720722547,-0.024832954753304926,0.39610253095417974,-0.04588162953667297,-0.30635550899727165,CANDIDATE,4,0,0
0,0,0,0,-0.07981571024130021,-0.301309520231409,-0.4726938568969267,0.2632733078207527,-0.04766393649153341,-0.28446412598594795,CANDIDATE,4,0,0
0,0,0,0,-0.07981571024130021,-0.3057413975743727,-0.6251320003706133,0.4528451117102069,-0.04788897405271764,-0.318425352603515,CANDIDATE,4,0,0
0,0,0,0,-0.08244330328818386,-0.3056426239747948,-0.39233886653870437,0.03243417247236985,-0.04748471141650294,-0.31949033880406585,CANDIDATE,4,0,0
0,0,0,0,-0.0820587774764448,-0.29983967499959563,-0.6853982431392801,-0.24740991898349102,-0.04794745304021106,-0.28647576658698853,CANDIDATE,4,0,0
0,0,0,0,-0.08100133149416235,-0.29496684408708795,-0.8803772638614373,-0.4627738050347757,-0.04805233640644421,-0.28765908458760064,CANDIDATE,4,0,0
0,0,0,0,-0.06956168859492495,-0.27952053451500763,0.10869813216550579,-0.20743219163265383,-0.044844160211991994,-0.06413031427197657,CANDIDATE,4,0,0
0,0,0,0,-0.07552183867688057,-0.28959896930050555,0.0106177762870873,-0.7684099786524671,-0.045630193566154664,-0.21145340534818194,CANDIDATE,4,0,0
0,0,0,0,-0.07744446773557594,-0.29939166617293894,-0.4904192224171228,0.2220059763618239,-0.04769601706969276,-0.2605611023735837,CANDIDATE,4,0,0
0,0,0,0,-0.04511225573184895,-0.014788473627380035,-0.6948517714167181,0.2103995393890003,-0.047955502779380196,0.5364035710386598,CANDIDATE,4,0,0
0,0,0,0,-0.06513964175992562,-0.2709695628944102,-0.8153842569540516,-0.11844950817433855,-0.04802866070300558,-0.15844075892076023,CANDIDATE,4,0,0
1,0,1,0,-0.0035193804287393126,-0.26211991872270823,-0.22217535754482165,0.8345679277052983,-0.0469251953549894,-0.2043534973445094,FALSE POSITIVE,17,1,2
0,0,0,0,-0.08212286511173465,-0.31018503367919087,-0.508144587937319,0.0865975450122138,-0.04772679548416298,-0.2754709091812961,CANDIDATE,4,0,0
0,0,0,0,-0.08154607639412605,-0.30452906922717304,-0.4313346706831358,-0.760672354003918,-0.04757680990287923,-0.29061737958913086,CANDIDATE,4,0,0
0,0,0,0,-0.07766877445909039,-0.2963943577762251,-0.6251320003706133,0.32001588857677987,-0.047889269999010615,-0.2747609183809288,CANDIDATE,4,0,0
0,0,0,0,-0.05552649646644882,-0.06977244405905451,-1.1273506901095032,0.2052411229566342,-0.048085423201999704,-0.027210792652879314,CANDIDATE,4,0,0
0,0,0,0,-0.08125768203532174,-0.3001430510554419,-0.4596952555154496,-0.7722787909767417,-0.04763694618961336,-0.2861207711868049,CANDIDATE,4,0,0
