koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr
CANDIDATE,0,0,0,0,5.22,1719.3,615.0,0.142,33.82,78.7
CANDIDATE,0,0,0,0,4.0,1009.6,484.0,0.147,12.94,37.5
CANDIDATE,0,0,0,0,1.94,234.0,1010.0,0.331,246.13,18.2
CANDIDATE,0,0,0,0,2.13,2237.0,407.0,0.081,6.47,124.7
CANDIDATE,0,0,0,0,1.24,741.7,893.0,0.009,151.14,87.8
CANDIDATE,0,0,0,0,10.62,11145.0,1008.0,0.566,244.42,2040.7
CANDIDATE,0,0,0,0,2.74,988.4,595.0,0.256,29.62,45.1
CANDIDATE,0,0,0,0,3.12,994.5,807.0,0.035,100.34,51.0
CANDIDATE,0,0,0,0,1.45,213.0,1710.0,0.037,2031.84,25.3
CANDIDATE,0,0,0,0,1.78,297.8,971.0,0.503,210.16,16.7
CANDIDATE,0,0,0,0,39.0,1896.7,797.0,0.922,95.4,86.1
CANDIDATE,0,0,0,0,3.43,446.8,1050.0,0.965,287.91,32.2
CANDIDATE,0,0,0,0,43.17,430.7,792.0,1.3,93.03,16.9
CANDIDATE,0,0,0,0,2.07,174.0,1305.0,0.949,686.99,15.1
CANDIDATE,0,0,0,0,7.12,3020.3,485.0,0.698,13.09,57.9
CANDIDATE,0,0,0,0,2.32,824.9,538.0,0.068,19.83,97.1
CANDIDATE,0,0,0,0,1.32,195.0,1943.0,0.154,3362.71,93.4
CANDIDATE,0,0,0,0,1.84,574.4,839.0,0.185,117.5,32.2
FALSE POSITIVE,0,0,1,0,59.56,1973.3,3000.0,1.246,19256.81,458.6
FALSE POSITIVE,0,0,1,0,23.6,18541.0,860.0,1.02,129.45,534.5
FALSE POSITIVE,0,1,0,0,5.06,128.4,2259.0,0.968,6152.88,91.7
FALSE POSITIVE,0,0,1,0,13.66,4511.7,804.0,0.994,98.77,322.3
FALSE POSITIVE,0,0,1,0,34.39,673.5,3145.0,0.06,23135.72,37.1
CANDIDATE,0,0,0,0,133.56,1495.8,5862.0,1.263,277887.7,179.6
FALSE POSITIVE,1,0,1,0,23.61,747.5,2073.0,1.226,4391.51,116.1
FALSE POSITIVE,1,0,0,1,27.85,598.2,1610.0,1.258,1595.19,140.6
